id,url,foreign_landing_url,title,creator,creator_url,license,license_version,license_url,source,attribution,is_table,eye_level,verdict
01b9f610-3fc8-4112-966d-f5fd5249b6c8,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZmwyMzQ0NjIwODg3NS1pbWFnZS1reWNqcnoybC5qcGc.jpg,https://www.rawpixel.com/image/6082365/snooker-referee-arranging-the-balls,Snooker Referee Arranging the Balls,,,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,rawpixel,"""Snooker Referee Arranging the Balls"" is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",1.000,0.994,keep
02092d84-4d8d-44e5-b704-c29f46304a1a,https://live.staticflickr.com/46/145388161_d421e1cc0b_b.jpg,https://www.flickr.com/photos/39735679@N00/145388161,Pool Table & Balls(PINGNews),pingnews.com,https://www.flickr.com/photos/39735679@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Pool Table & Balls(PINGNews)"" by pingnews.com is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.999,0.597,keep
02261019-07f3-44e5-830b-45d7b18e4a8e,https://live.staticflickr.com/3359/3508793194_8993eceb32_b.jpg,https://www.flickr.com/photos/35122087@N06/3508793194,Pool player,lancetino,https://www.flickr.com/photos/35122087@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Pool player"" by lancetino is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.998,keep
0284678f-0109-43c5-a276-a0339d35d292,https://live.staticflickr.com/39/123699868_73af7915c4.jpg,https://www.flickr.com/photos/44124425616@N01/123699868,8-Ball,Hamed Saber,https://www.flickr.com/photos/44124425616@N01,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""8-Ball"" by Hamed Saber is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.999,keep
02d18d61-9485-4aa0-b1f8-5a95851de648,https://live.staticflickr.com/8330/8387567288_d42e6e48ca_b.jpg,https://www.flickr.com/photos/94661162@N00/8387567288,Mad Men play pool,joannapoe,https://www.flickr.com/photos/94661162@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Mad Men play pool"" by joannapoe is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.998,1.000,keep
02eed0ea-24d8-4ed7-9923-549d26bda5f0,https://live.staticflickr.com/7147/6548492221_5c8be937ef.jpg,https://www.flickr.com/photos/65219016@N04/6548492221,Red Pool Table,Rubber Dragon,https://www.flickr.com/photos/65219016@N04,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Red Pool Table"" by Rubber Dragon is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.603,keep
03c903d1-2890-4622-96a8-6c648661c375,https://live.staticflickr.com/1753/41782099475_f93c83ebd1_b.jpg,https://www.flickr.com/photos/32997352@N06/41782099475,ben playing pool,kevingenekelley,https://www.flickr.com/photos/32997352@N06,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""ben playing pool"" by kevingenekelley is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.997,keep
04a775d7-509a-400e-ae7d-9671b97c1fdf,https://live.staticflickr.com/5050/5237094085_47e4399b03_b.jpg,https://www.flickr.com/photos/72787861@N00/5237094085,pool cue,paulscott56,https://www.flickr.com/photos/72787861@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""pool cue"" by paulscott56 is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.632,0.927,keep
04db9d28-4dc1-4fa6-98fa-3fe54d864679,https://live.staticflickr.com/1110/917205639_15679dc9db.jpg,https://www.flickr.com/photos/35034349324@N01/917205639,Amber playing pool at inner mission,etrepum,https://www.flickr.com/photos/35034349324@N01,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Amber playing pool at inner mission"" by etrepum is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.999,keep
04fc5ad5-6b04-4b50-86bc-f0407a31231b,https://live.staticflickr.com/129/369481110_e121ac971e.jpg,https://www.flickr.com/photos/89746220@N00/369481110,Alex shooting pool,mrsjwd9,https://www.flickr.com/photos/89746220@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Alex shooting pool"" by mrsjwd9 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.966,1.000,keep
0504cdbd-ab30-417b-9944-4c8ae868907e,https://live.staticflickr.com/2645/3872387194_2d4af025cb_b.jpg,https://www.flickr.com/photos/39707801@N00/3872387194,12th Annual Dauphin St. Beer Fest - Lounging at Boo Radleys,avhell,https://www.flickr.com/photos/39707801@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""12th Annual Dauphin St. Beer Fest - Lounging at Boo Radleys"" by avhell is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.995,0.989,keep
05bf530a-fa78-43dd-beae-96b0c805dabe,https://live.staticflickr.com/1234/529592277_639c80c92f_b.jpg,https://www.flickr.com/photos/7235424@N02/529592277,Ubuntu people pretend they can play pool,jonobacon,https://www.flickr.com/photos/7235424@N02,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Ubuntu people pretend they can play pool"" by jonobacon is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.987,keep
061ae7b8-cd34-4043-bbf8-66dfcea5c81d,https://live.staticflickr.com/172/460699461_0af56fcdc9_b.jpg,https://www.flickr.com/photos/91115662@N00/460699461,Pool Table & Door,meltwater,https://www.flickr.com/photos/91115662@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Pool Table & Door"" by meltwater is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.994,0.901,keep
06360523-84bd-418a-834d-9962a4275adb,https://live.staticflickr.com/19/119275433_5c7be76138_b.jpg,https://www.flickr.com/photos/57412091@N00/119275433,Harrison's Bar & Grill,fodwyer,https://www.flickr.com/photos/57412091@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Harrison's Bar & Grill"" by fodwyer is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.999,keep
0657358a-197c-4b15-bd44-a73fd872041a,https://live.staticflickr.com/5795/23909427116_078d62718f_b.jpg,https://www.flickr.com/photos/133905261@N04/23909427116,USARJ HHC celebrates the holidays,usarjnco,https://www.flickr.com/photos/133905261@N04,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""USARJ HHC celebrates the holidays"" by usarjnco is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.972,keep
06611e3c-5132-4cab-b07b-d9947b6ceb15,https://live.staticflickr.com/42/74614729_1da01eecbe_b.jpg,https://www.flickr.com/photos/80355002@N00/74614729,pool table.,.through my eyes.,https://www.flickr.com/photos/80355002@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""pool table."" by .through my eyes. is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.999,0.638,keep
067c325b-714e-42a0-87cd-359030e9294f,https://live.staticflickr.com/2149/2254568863_6ae536e49e_b.jpg,https://www.flickr.com/photos/24559254@N00/2254568863,Urto,Conanil,https://www.flickr.com/photos/24559254@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Urto"" by Conanil is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.998,keep
06badc64-190b-46d8-bb4e-736e5748e7b0,https://live.staticflickr.com/7347/9089422894_5baaba3e80_b.jpg,https://www.flickr.com/photos/91963201@N04/9089422894,Pool hall,JackMunn,https://www.flickr.com/photos/91963201@N04,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Pool hall"" by JackMunn is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.998,1.000,keep
06d035d1-9939-4e65-85bd-8daa3fae3dca,https://live.staticflickr.com/4045/4176107515_22b1bc44bd_b.jpg,https://www.flickr.com/photos/89669379@N00/4176107515,Amandeep Playing Pool,oosp,https://www.flickr.com/photos/89669379@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Amandeep Playing Pool"" by oosp is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.999,keep
06d1b14a-34cf-4ed8-a440-b9ac01a0b22d,https://live.staticflickr.com/1037/1166431651_2f99c4bfe4_b.jpg,https://www.flickr.com/photos/82439748@N00/1166431651,Setting up the break,blmurch,https://www.flickr.com/photos/82439748@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Setting up the break"" by blmurch is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.985,keep
070fbf07-0b06-417d-ac23-3d12615e1d11,https://upload.wikimedia.org/wikipedia/commons/2/24/Kid%27s_toy_billiard_table.jpg,https://commons.wikimedia.org/w/index.php?curid=54940238,File:Kid's toy billiard table.jpg,Bagoto,https://commons.wikimedia.org/w/index.php?title=User:Bagoto&action=edit&redlink=1,by-sa,4.0,https://creativecommons.org/licenses/by-sa/4.0/,wikimedia,"""File:Kid's toy billiard table.jpg"" by Bagoto is licensed under CC BY-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0/.",1.000,0.997,keep
07106f39-456c-48aa-b0b7-6731b5ab866f,https://upload.wikimedia.org/wikipedia/commons/e/eb/Yardley_Wood_Bus_Garage_-_Open_Day_-_play_pool_%2810105593123%29.jpg,https://commons.wikimedia.org/w/index.php?curid=42369608,Yardley Wood Bus Garage - Open Day - play pool (10105593123),"Elliott Brown from Birmingham, United Kingdom",https://www.flickr.com/people/39415781@N06,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,wikimedia,"""Yardley Wood Bus Garage - Open Day - play pool (10105593123)"" by Elliott Brown from Birmingham, United Kingdom is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.928,keep
073c913a-1a2d-4c69-8cb8-fec0b0001a54,https://upload.wikimedia.org/wikipedia/commons/3/32/To_pot_the_red.jpg,https://commons.wikimedia.org/w/index.php?curid=3673385,To pot the red,MichaelMaggs,https://commons.wikimedia.org/wiki/User:MichaelMaggs,by-sa,3.0,https://creativecommons.org/licenses/by-sa/3.0/,wikimedia,"""To pot the red"" by MichaelMaggs is licensed under CC BY-SA 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/3.0/.",1.000,0.958,keep
07556272-f274-404b-9ad5-90ec38e2eeb3,https://live.staticflickr.com/3046/3057871264_5be612a3e0_b.jpg,https://www.flickr.com/photos/37996583849@N01/3057871264,Denice Najera breaking at the 3636,harry525,https://www.flickr.com/photos/37996583849@N01,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Denice Najera breaking at the 3636"" by harry525 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.997,keep
07b8337a-a1f2-47d9-97bc-848dd838e7d6,https://upload.wikimedia.org/wikipedia/commons/5/50/THE_BRIDGE_POOL_HALL%2C_Omagh_-_geograph.org.uk_-_137936.jpg,https://commons.wikimedia.org/w/index.php?curid=9247192,"THE BRIDGE POOL HALL, Omagh - geograph.org.uk - 137936",Kenneth Allen,https://www.geograph.org.uk/profile/2282,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,wikimedia,"""THE BRIDGE POOL HALL, Omagh - geograph.org.uk - 137936"" by Kenneth Allen is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.844,0.997,keep
07e97a8f-1116-4d8a-ab53-00d5de18a8d2,https://live.staticflickr.com/56/116544079_c3b99b29b8_b.jpg,https://www.flickr.com/photos/41894148532@N01/116544079,Playing Pool,Neil T,https://www.flickr.com/photos/41894148532@N01,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Playing Pool"" by Neil T is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.999,keep
081b2e83-f7fa-4bb2-a85a-a9da7cb7b588,https://live.staticflickr.com/8377/8566864773_889b5f3ed3_b.jpg,https://www.flickr.com/photos/31687107@N07/8566864773,"Korean-American Friendship Billiard - Camp Humphreys, South Korea - 16 March 2013",USAG-Humphreys,https://www.flickr.com/photos/31687107@N07,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Korean-American Friendship Billiard - Camp Humphreys, South Korea - 16 March 2013"" by USAG-Humphreys is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,1.000,keep
085c7c24-704b-462f-8cd0-d061412a27ed,https://live.staticflickr.com/571/23420054526_decd9f060f_b.jpg,https://www.flickr.com/photos/136375272@N05/23420054526,Snooker Table,MyStockPhotos,https://www.flickr.com/photos/136375272@N05,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,flickr,"""Snooker Table"" by MyStockPhotos is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",1.000,0.932,keep
0892bc13-e2e1-424f-8f8b-97b45b377828,https://live.staticflickr.com/8025/7111167447_917bb1e34e_b.jpg,https://www.flickr.com/photos/13272916@N06/7111167447,alphonse billiard,alvinchanphotography,https://www.flickr.com/photos/13272916@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""alphonse billiard"" by alvinchanphotography is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.999,keep
0918ef1a-f914-4d5e-b2a9-10be947af010,https://live.staticflickr.com/7311/9932863004_e8f26b31a6_b.jpg,https://www.flickr.com/photos/95329455@N02/9932863004,Three women sitting in a pool hall,simpleinsomnia,https://www.flickr.com/photos/95329455@N02,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Three women sitting in a pool hall"" by simpleinsomnia is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.684,0.999,keep
0954955c-386a-430b-a858-720da494b8d3,https://live.staticflickr.com/33/54863443_d1c40271a1_b.jpg,https://www.flickr.com/photos/88893304@N00/54863443,Rec Center,Bonesaw 0311,https://www.flickr.com/photos/88893304@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Rec Center"" by Bonesaw 0311 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,1.000,keep
09882174-ee1b-411c-b89e-bea5e480a896,https://live.staticflickr.com/3168/2544803456_4707997751_b.jpg,https://www.flickr.com/photos/96437548@N00/2544803456,Who's next for a pool game?,Titanas,https://www.flickr.com/photos/96437548@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Who's next for a pool game?"" by Titanas is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,1.000,keep
098e04bf-4b72-4c6e-b40e-7c720d042db1,https://live.staticflickr.com/4060/4658489253_6c261386e6.jpg,https://www.flickr.com/photos/49309023@N08/4658489253,billiards,rockandbacon,https://www.flickr.com/photos/49309023@N08,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""billiards"" by rockandbacon is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.999,keep
0992fbd1-ffd5-4e72-996a-39c8cd97583f,https://upload.wikimedia.org/wikipedia/commons/0/02/Martin_Horn_%28billiard_player%29_3-Cushion_World_Cup_Istanbul_2009-01.jpg,https://commons.wikimedia.org/w/index.php?curid=20071126,File:Martin Horn (billiard player) 3-Cushion World Cup Istanbul 2009-01.jpg,Martin Horn,,by-sa,3.0,https://creativecommons.org/licenses/by-sa/3.0/,wikimedia,"""File:Martin Horn (billiard player) 3-Cushion World Cup Istanbul 2009-01.jpg"" by Martin Horn is licensed under CC BY-SA 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/3.0/.",0.985,0.995,keep
0997db60-db2e-473d-98de-2bceb6b52f39,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL2ZyYmlsbGlhcmRzX2JhbGxzX2dhbWVfbGVpc3VyZS1pbWFnZS1reWJlOGJ1dC5qcGc.jpg,https://www.rawpixel.com/image/6040886/photo-image-public-domain-table-room,Billiards & pool game,,,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,rawpixel,"""Billiards & pool game"" is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",1.000,0.729,keep
09a25a8a-06fc-45fe-9d9b-2c90ff1017f6,https://live.staticflickr.com/3317/3342226471_e470b6556a_b.jpg,https://www.flickr.com/photos/8710103@N04/3342226471,Pool Hall Reflection,YoLaGringo,https://www.flickr.com/photos/8710103@N04,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Pool Hall Reflection"" by YoLaGringo is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.982,0.855,keep
0a29f616-b4bf-43c9-a29b-c9d8dab3d258,https://live.staticflickr.com/7585/16962965381_a2615f0379_b.jpg,https://www.flickr.com/photos/116193477@N08/16962965381,Pool Players,Johnny Silvercloud,https://www.flickr.com/photos/116193477@N08,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Pool Players"" by Johnny Silvercloud is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.999,1.000,keep
0a73522b-2100-4b28-a2b8-348c3460357d,https://upload.wikimedia.org/wikipedia/commons/d/d8/Al%27s_Bar_pool_table.jpg,https://commons.wikimedia.org/w/index.php?curid=149998812,Al's Bar pool table,Fziolkowski,https://commons.wikimedia.org/w/index.php?title=User:Fziolkowski&action=edit&redlink=1,by-sa,4.0,https://creativecommons.org/licenses/by-sa/4.0/,wikimedia,"""Al's Bar pool table"" by Fziolkowski is licensed under CC BY-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0/.",0.981,0.963,keep
0ad25af1-a37b-49dc-af26-aede5bbc763b,https://live.staticflickr.com/2006/2228877176_a6b871ab2e_b.jpg,https://www.flickr.com/photos/21480682@N03/2228877176,Billiard,@felixtriller,https://www.flickr.com/photos/21480682@N03,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Billiard"" by @felixtriller is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.998,0.999,keep
0b0068e1-45d9-4139-97fe-e1ad4ddd5385,https://live.staticflickr.com/103/307425688_ec6a70d7a2_b.jpg,https://www.flickr.com/photos/28851385@N00/307425688,mariachis playing pool,jordanfischer,https://www.flickr.com/photos/28851385@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""mariachis playing pool"" by jordanfischer is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,1.000,keep
0b3dc15f-4d6d-46f1-8b0c-19edb1159ee5,https://live.staticflickr.com/69/191046925_db60b50a8a.jpg,https://www.flickr.com/photos/60634076@N00/191046925,billiard,Adrian Be,https://www.flickr.com/photos/60634076@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""billiard"" by Adrian Be is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.996,keep
0b42a5db-605a-4b83-b773-9a186aae1400,https://live.staticflickr.com/5565/14602317123_ea5c60b633_b.jpg,https://www.flickr.com/photos/70251312@N00/14602317123,"Michigan Union, University of Michigan -- college men playing pool.",In Memoriam: Wystan,https://www.flickr.com/photos/70251312@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Michigan Union, University of Michigan -- college men playing pool."" by In Memoriam: Wystan is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,1.000,keep
0b57ef4b-4945-42b7-b4b6-f6924875d38e,https://live.staticflickr.com/1152/933158652_4fc48aec03_b.jpg,https://www.flickr.com/photos/75657596@N00/933158652,K playing pool in the Elbo,karendesuyo,https://www.flickr.com/photos/75657596@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""K playing pool in the Elbo"" by karendesuyo is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,0.999,keep
0ba7f342-34bc-4deb-a320-a69f86a98178,https://live.staticflickr.com/2176/2544800180_cccfb0cd6a_b.jpg,https://www.flickr.com/photos/96437548@N00/2544800180,Who's interested for a pool game?,Titanas,https://www.flickr.com/photos/96437548@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Who's interested for a pool game?"" by Titanas is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.985,0.999,keep
0bc2c719-e211-4962-ab91-ddeab9013596,https://live.staticflickr.com/2585/3759820022_0d633b4f81_b.jpg,https://www.flickr.com/photos/87533346@N00/3759820022,Cosplayers Playing Pool @ PersaCon '09,djzippy,https://www.flickr.com/photos/87533346@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Cosplayers Playing Pool @ PersaCon '09"" by djzippy is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.991,0.983,keep
